Case,Activity,Timestamp,Resource,Event,label
2771451,enter senddate retrieve missing data,2010-11-18 08:00:01.000,6,8119,
2771451,request complete,2010-12-01 18:54:01.000,2670601,8149,
2771451,phase advice known,2010-12-01 18:54:20.000,2670601,8155,
2771451,creating environmental permit decision,2010-12-01 18:54:48.000,2670601,8161,
2771451,register date environmental permit decision,2010-12-06 08:00:01.000,560890,8162,
2782209,register submission date request,2010-10-06 07:00:01.000,560925,8169,
2782209,enter senddate procedure confirmation,2010-11-18 08:00:02.000,560890,8204,
2782209,enter date publication decision environmental permit,2010-11-24 08:00:01.000,560890,8206,
2783345,enter senddate procedure confirmation,2010-10-11 07:00:01.000,2670601,8210,
2783345,registrer date of publishing received request,2010-10-11 07:00:02.000,2670601,8208,
2783345,enter senddate procedure confirmation,2010-10-19 07:00:01.000,2670601,8211,
2783345,enter receipt of additional data,2010-11-24 08:00:02.000,2670601,8213,
2783345,request complete,2010-12-01 18:37:30.000,2670601,8236,
2783345,phase advice known,2010-12-01 18:38:01.000,2670601,8242,
2783345,creating environmental permit decision,2010-12-01 18:39:11.000,2670601,8250,
2783345,enter senddate decision environmental permit,2010-12-06 08:00:02.000,560890,8252,
2783345,register date environmental permit decision,2010-12-06 08:00:03.000,560890,8251,
2783345,enter date publication decision environmental permit,2010-12-15 08:00:01.000,560890,8257,
2794023,registrer date of publishing received request,2010-10-27 07:00:01.000,560872,8268,
2794023,enter senddate confirmation request,2010-12-07 08:00:01.000,560890,8279,
2794023,register date decision terminate on request,2010-12-07 08:00:02.000,560890,8278,
2794023,stop process after terminate on request,2010-12-07 19:30:09.000,560890,8284,
2797217,enter senddate acknowledgement,2010-10-12 07:00:01.000,560872,8285,
2797217,register submission date request,2010-10-12 07:00:02.000,560872,8286,
2797217,enter senddate procedure confirmation,2010-10-15 07:00:01.000,560872,8287,
2797217,enter senddate procedure confirmation,2010-10-15 07:00:02.000,560872,8288,
2797217,request complete,2010-10-25 22:23:00.000,560872,8304,
2797217,phase advice known,2010-10-25 22:23:26.000,560872,8311,
