Case,Activity,Timestamp,Resource,Event,label
10009138,register submission date request,2014-04-11 07:01:19,9264148,0,
10009138,OLO messaging active,2014-04-14 07:00:30,9264148,1,
10009138,create procedure confirmation,2014-04-14 07:00:31,9264148,5,
10009138,create publication document,2014-04-14 07:00:32,9264148,7,
10009138,create subcases completeness,2014-04-14 07:00:33,9264148,6,
10009138,forward to the competent authority,2014-04-14 07:00:33,9264148,3,form-based (orig=2014-04-14 07:00:34)
10009138,phase application received,2014-04-14 07:00:33,9264148,8,form-based (orig=2014-04-14 07:00:35)
10009138,registration date publication,2014-04-14 07:00:36,9264148,10,
10009138,regular procedure without MER,2014-04-14 07:00:36,9264148,4,form-based (orig=2014-04-14 07:00:37)
10009138,send confirmation receipt,2014-04-14 07:00:36,9264148,2,form-based (orig=2014-04-14 07:00:38) ; form-based (orig=2014-04-14 07:00:36)
10009138,send confirmation receipt,2014-04-14 07:00:36,9264148,11,form-based (orig=2014-04-14 07:00:39)
10009138,start WABOprocedure,2014-04-14 07:00:40,9264148,9,
10009138,article 34  WABO applies,2014-05-20 07:00:36,2670601,16,
10009138,ask stakeholders views,2014-05-20 07:00:37,2670601,18,
10009138,assessment of content completed,2014-05-20 07:00:37,2670601,31,form-based (orig=2014-05-20 07:00:38)
10009138,by law,2014-05-20 07:00:37,2670601,21,form-based (orig=2014-05-20 07:00:39)
10009138,completed subcases content,2014-05-20 07:00:40,2670601,32,
10009138,coordination of application,2014-05-20 07:00:41,2670601,20,
10009138,creating environmental permit decision,2014-05-20 07:00:42,2670601,29,
10009138,decision date prior to decision,2014-05-20 07:00:43,2670601,22,
10009138,generating decision environmental permit,2014-05-20 07:00:43,2670601,26,form-based (orig=2014-05-20 07:00:44)
10009138,grounds for refusal,2014-05-20 07:00:43,2670601,17,form-based (orig=2014-05-20 07:00:45) ; form-based (orig=2014-05-20 07:00:44)
10009138,phase advice known,2014-05-20 07:00:44,2670601,28,form-based (orig=2014-05-20 07:00:46)
10009138,phase application receptive,2014-05-20 07:00:47,2670601,27,
10009138,phase decision ready,2014-05-20 07:00:47,2670601,25,form-based (orig=2014-05-20 07:00:48)
10009138,procedure change,2014-05-20 07:00:47,2670601,15,form-based (orig=2014-05-20 07:00:49) ; form-based (orig=2014-05-20 07:00:48)
10009138,procedure change,2014-05-20 07:00:48,2670601,24,form-based (orig=2014-05-20 07:00:50) ; form-based (orig=2014-05-20 07:00:48)
10009138,request complete,2014-05-20 07:00:48,2670601,13,form-based (orig=2014-05-20 07:00:51) ; form-based (orig=2014-05-20 07:00:48)
10009138,send letter in progress,2014-05-20 07:00:48,2670601,14,form-based (orig=2014-05-20 07:00:52)
10009138,set decision status,2014-05-20 07:00:53,2670601,33,
10009138,submit decision,2014-05-20 07:00:54,2670601,23,
10009138,suspension ground applicable,2014-05-20 07:00:54,2670601,19,form-based (orig=2014-05-20 07:00:55)
10009138,treat subcases content,2014-05-20 07:00:54,2670601,30,form-based (orig=2014-05-20 07:00:56) ; form-based (orig=2014-05-20 07:00:55)
10009138,creating cover letter decision,2014-05-20 07:00:55,560912,35,form-based (orig=2014-06-04 07:00:01)
10009138,enter senddate decision,2014-06-04 07:00:01,560912,41,form-based (orig=2014-06-04 07:00:02)
10009138,enter senddate decision environmental permit,2014-06-04 07:00:01,560912,38,form-based (orig=2014-06-04 07:00:03)
10009138,phase decision sent,2014-06-04 07:00:01,560912,42,form-based (orig=2014-06-04 07:00:04)
10009138,phase decision taken,2014-06-04 07:00:01,560912,40,form-based (orig=2014-06-04 07:00:05)
10009138,record date of decision environmental permit,2014-06-04 07:00:05,560912,37,form-based (orig=2014-06-04 07:00:06)
10009138,register objection and appeal periods,2014-06-04 07:00:05,560912,34,form-based (orig=2014-06-04 07:00:07)
10009138,set decision phase decision permitting decided,2014-06-04 07:00:05,560912,39,form-based (orig=2014-06-04 07:00:08)
10009138,transcript decision environmental permit to stakeholders,2014-06-04 07:00:05,560912,36,form-based (orig=2014-06-04 07:00:09)
10009138,enter senddate decision environmental permit,2014-06-04 07:00:05,560912,43,form-based (orig=2014-06-05 07:00:09)
10009138,start decision phase decision permitting sent,2014-06-04 07:00:05,560912,44,form-based (orig=2014-06-05 07:00:10)
10051383,OLO messaging active,2014-04-17 07:00:31,560872,48,
10051383,create procedure confirmation,2014-04-17 07:00:32,560872,45,
10051383,create publication document,2014-04-17 07:00:32,560872,47,form-based (orig=2014-04-17 07:00:33)
10051383,create subcases completeness,2014-04-17 07:00:32,560872,46,form-based (orig=2014-04-17 07:00:34)
10051383,forward to the competent authority,2014-04-17 07:00:35,560872,50,
10051383,phase application received,2014-04-17 07:00:36,560872,54,
10051383,register submission date request,2014-04-17 07:00:37,560872,52,
10051383,registration date publication,2014-04-17 07:00:38,560872,56,
10051383,regular procedure without MER,2014-04-17 07:00:39,560872,51,
10051383,send confirmation receipt,2014-04-17 07:00:40,560872,49,
10051383,send confirmation receipt,2014-04-17 07:00:40,560872,55,form-based (orig=2014-04-17 07:00:41)
10051383,start WABOprocedure,2014-04-17 07:00:40,560872,53,form-based (orig=2014-04-17 07:00:42)
10051383,create letter requesting missing data,2014-05-27 07:00:48,2670601,60,
10051383,phase asked additional information,2014-05-27 07:00:48,2670601,63,form-based (orig=2014-05-27 07:00:49)
10051383,procedure change,2014-05-27 07:00:48,2670601,61,form-based (orig=2014-05-27 07:00:50)
10051383,request complete,2014-05-27 07:00:50,2670601,58,form-based (orig=2014-05-27 07:00:51)
10051383,retrieve missing data,2014-05-27 07:00:50,2670601,62,form-based (orig=2014-05-27 07:00:52)
10051383,term for supplying missing data,2014-05-27 07:00:50,2670601,59,form-based (orig=2014-05-27 07:00:53)
10051383,enter receipt of additional data,2014-05-27 07:00:50,2670601,66,form-based (orig=2014-06-13 07:00:31)
10051383,phase additional information received,2014-06-13 07:00:31,2670601,67,form-based (orig=2014-06-13 07:00:32)
10051383,MER present in supplement,2014-06-13 07:00:31,560872,68,form-based (orig=2014-06-16 07:00:12) ; form-based (orig=2014-06-13 07:00:32)
10051383,send confirmation receipt additional data,2014-06-13 07:00:32,560872,69,form-based (orig=2014-06-16 07:00:13)
10051383,ask stakeholders views,2014-06-24 07:00:01,2670601,75,
10051383,assessment of content completed,2014-06-24 07:00:02,2670601,88,
10051383,by law,2014-06-24 07:00:02,2670601,78,form-based (orig=2014-06-24 07:00:03)
