"Case","Activity","Timestamp","Resource","Injection","org"
0,"Check for completeness","2023-09-29 09:00:00.000","Clerk-000001","","Check for completeness"
0,"New online application received_yEVAoNGn_nan","2023-09-29 09:00:00.000","","polluted Label(Activity)","New online application received"
0,"Perform checks","2023-09-29 09:08:36.418","Clerk-000003","","Perform checks"
0,"Make decision_yfwFVYyS_Manager-000001","2023-09-29 09:09:43.339","Manager-000001","polluted Label(Activity)","Make decision"
0,"Notify accept","2023-09-29 09:16:37.243","Manager-000003","","Notify accept"
0,"Deliver card","2023-09-29 09:39:19.386","Manager-000002","","Deliver card"
0,"EVENT 13 END","2023-09-29 09:49:41.170","","","EVENT 13 END"
1,"Check for completeness","2023-09-29 09:05:24.364","Clerk-000002","","Check for completeness"
1,"New online application received","2023-09-29 09:05:24.364","","","New online application received"
1,"Perform checks","2023-09-29 09:10:28.617","Clerk-000004","","Perform checks"
1,"Make decision","2023-09-29 09:13:51.492","Manager-000002","","Make decision"
1,"Notify accept_UEXExIZV_Manager-000005","2023-09-29 09:35:56.908","Manager-000005","polluted Label(Activity)","Notify accept"
1,"Deliver card_PeFzGRmM_Manager-000004","2023-09-29 09:54:59.797","Manager-000004","polluted Label(Activity)","Deliver card"
1,"EVENT 13 END_glPrQfhK_nan","2023-09-29 10:09:32.104","","polluted Label(Activity)","EVENT 13 END"
2,"Check for completeness_cDVBJbHF_Clerk-000005","2023-09-29 09:24:45.487","Clerk-000005","polluted Label(Activity)","Check for completeness"
2,"New online application received","2023-09-29 09:24:45.487","","","New online application received"
2,"Perform checks","2023-09-29 09:25:09.241","Clerk-000006","","Perform checks"
2,"Make decision_lHsjAcfZ_Manager-000004","2023-09-29 09:33:00.179","Manager-000004","polluted Label(Activity)","Make decision"
2,"Notify accept","2023-09-29 09:37:36.568","Manager-000006","","Notify accept"
2,"Deliver card","2023-09-29 09:38:25.275","Manager-000001","","Deliver card"
2,"EVENT 13 END","2023-09-29 09:43:20.919","","","EVENT 13 END"
3,"Check for completeness","2023-09-29 11:04:02.737","Clerk-000001","","Check for completeness"
3,"New online application received","2023-09-29 11:04:02.737","","","New online application received"
3,"Request info","2023-09-29 11:14:01.072","Manager-000006","","Request info"
3,"info received","2023-09-29 11:22:56.200","","","info received"
3,"Check for completeness","2023-09-29 11:23:06.200","Clerk-000003","","Check for completeness"
3,"Perform checks_zqyQTQjZ_Clerk-000002","2023-09-29 11:26:10.630","Clerk-000002","polluted Label(Activity)","Perform checks"
3,"Make decision_GeLZuJql_Manager-000003","2023-09-29 11:39:44.558","Manager-000003","polluted Label(Activity)","Make decision"
3,"notify reject_LaQBfgHT_Manager-000002","2023-09-29 11:44:04.637","Manager-000002","polluted Label(Activity)","notify reject"
3,"time out","2023-09-29 11:55:24.525","","","time out"
