"Case","Activity","Timestamp","Resource","Injection","org"
0,"Check for completeness","2023-09-29 09:00:00.000","Clerk-000001","","Check for completeness"
0,"New online application received","2023-09-29 09:00:00.000","","","New online application received"
0,"Perform checks","2023-09-29 09:08:36.418","Clerk-000003","","Perform checks"
0,"Make decision","2023-09-29 09:09:43.339","Manager-000001","","Make decision"
0,"Notify accept","2023-09-29 09:16:37.243","Manager-000003","","Notify accept"
0,"Deliver card","2023-09-29 09:39:19.386","Manager-000002","","Deliver card"
0,"EVENT 13 END","2023-09-29 09:49:41.170","","","EVENT 13 END"
1,"Check for completeness","2023-09-29 09:05:24.364","Clerk-000002","","Check for completeness"
1,"New online application received","2023-09-29 09:05:24.364","","","New online application received"
1,"Perform checks","2023-09-29 09:10:28.617","Clerk-000004","","Perform checks"
1,"Make decision","2023-09-29 09:13:51.492","Manager-000002","","Make decision"
1,"Notify accept","2023-09-29 09:35:56.908","Manager-000005","","Notify accept"
1,"Deliver card","2023-09-29 09:54:59.797","Manager-000004","","Deliver card"
1,"EVENT 13 END","2023-09-29 10:09:32.104","","","EVENT 13 END"
2,"Check for completeness","2023-09-29 09:24:45.487","Clerk-000005","","Check for completeness"
2,"New online application received","2023-09-29 09:24:45.487","","","New online application received"
2,"Perform checks","2023-09-29 09:25:09.241","Clerk-000006","","Perform checks"
2,"Make decision","2023-09-29 09:33:00.179","Manager-000004","","Make decision"
2,"Notify accept","2023-09-29 09:37:36.568","Manager-000006","","Notify accept"
2,"Deliver card","2023-09-29 09:38:25.275","Manager-000001","","Deliver card"
2,"EVENT 13 END","2023-09-29 09:43:20.919","","","EVENT 13 END"
3,"Check for completeness","2023-09-29 11:04:02.737","Clerk-000001","","Check for completeness"
3,"New online application received","2023-09-29 11:04:02.737","","","New online application received"
3,"Request info","2023-09-29 11:14:01.072","Manager-000006","","Request info"
3,"info received","2023-09-29 11:22:56.200","","","info received"
3,"Check for completeness","2023-09-29 11:23:06.200","Clerk-000003","","Check for completeness"
3,"Perform checks","2023-09-29 11:26:10.630","Clerk-000002","","Perform checks"
3,"Make decision","2023-09-29 11:39:44.558","Manager-000003","","Make decision"
3,"notify reject","2023-09-29 11:44:04.637","Manager-000002","","notify reject"
3,"time out","2023-09-29 11:55:24.525","","","time out"
3,"EVENT 13 END","2023-09-29 11:55:34.525","","","EVENT 13 END"
4,"Check for completeness","2023-09-29 11:34:38.887","Clerk-000004","","Check for completeness"
4,"New online application received","2023-09-29 11:34:38.887","","","New online application received"
4,"Request info","2023-09-29 11:42:14.147","Manager-000001","","Request info"
4,"info received","2023-09-29 12:28:45.322","","","info received"
4,"Check for completeness","2023-09-29 12:28:55.322","Clerk-000001","","Check for completeness"
4,"Perform checks","2023-09-29 12:54:48.341","Clerk-000003","","Perform checks"
4,"Make decision","2023-09-29 13:08:52.312","Manager-000003","","Make decision"
4,"Notify accept","2023-09-29 13:20:24.260","Manager-000002","","Notify accept"
4,"Deliver card","2023-09-29 13:31:16.944","Manager-000004","","Deliver card"
