"Case","Activity","Timestamp","Resource","Injection","org"
0,"Take order","2024-05-06 18:00:00.000","Waiter-000001","","Take order"
0,"start","2024-05-06 18:00:00.000","","","start"
0,"Review order","2024-05-06 18:00:26.397","Waiter-000002","","Review order"
0,"Prepare main course","2024-05-06 18:01:27.727","Cook-000001","","Prepare main course"
0,"prepare drinks_Barman-000001","2024-05-06 18:01:27.727","Barman-000001","polluted Label(Activity)","prepare drinks"
0,"Signal food complete","2024-05-06 18:08:55.574","Cook-000002","","Signal food complete"
0,"Bring drinks","2024-05-06 18:10:35.746","Barman-000002","","Bring drinks"
0,"Review drinks","2024-05-06 18:13:26.601","Waiter-000003","","Review drinks"
0,"Bring food_Cook helper-000001","2024-05-06 18:17:06.274","Cook helper-000001","polluted Label(Activity)","Bring food"
0,"Deliver to customer","2024-05-06 18:28:15.901","Waiter-000001","","Deliver to customer"
0,"EVENT 8 END_nan","2024-05-06 18:28:36.374","","polluted Label(Activity)","EVENT 8 END"
1,"Take order","2024-05-06 18:15:00.000","Waiter-000004","","Take order"
1,"start","2024-05-06 18:15:00.000","","","start"
1,"Review order","2024-05-06 18:21:16.885","Waiter-000005","","Review order"
1,"Prepare main course","2024-05-06 18:21:19.290","Cook-000003","","Prepare main course"
1,"prepare drinks","2024-05-06 18:21:19.290","Barman-000003","","prepare drinks"
1,"Signal food complete_Cook-000001","2024-05-06 18:28:22.423","Cook-000001","polluted Label(Activity)","Signal food complete"
1,"Bring food","2024-05-06 18:32:39.040","Cook helper-000002","","Bring food"
1,"Bring drinks","2024-05-06 18:37:42.138","Barman-000001","","Bring drinks"
1,"Review drinks","2024-05-06 18:38:19.504","Waiter-000004","","Review drinks"
1,"Deliver to customer","2024-05-06 18:41:38.777","Waiter-000001","","Deliver to customer"
1,"EVENT 8 END","2024-05-06 18:48:07.685","","","EVENT 8 END"
2,"Take order","2024-05-06 18:30:00.000","Waiter-000002","","Take order"
2,"start","2024-05-06 18:30:00.000","","","start"
2,"Review order_Waiter-000003","2024-05-06 18:31:43.657","Waiter-000003","polluted Label(Activity)","Review order"
2,"Prepare main course","2024-05-06 18:32:39.248","Cook-000002","","Prepare main course"
2,"Prepare starter","2024-05-06 18:32:39.248","Cook helper-000003","","Prepare starter"
2,"prepare drinks","2024-05-06 18:32:39.248","Barman-000001","","prepare drinks"
2,"Bring drinks","2024-05-06 18:33:35.761","Barman-000002","","Bring drinks"
2,"Review drinks","2024-05-06 18:41:33.110","Waiter-000005","","Review drinks"
2,"Signal food complete","2024-05-06 18:42:38.623","Cook-000003","","Signal food complete"
2,"Bring food","2024-05-06 18:52:02.985","Cook helper-000001","","Bring food"
2,"Deliver to customer","2024-05-06 18:52:55.482","Waiter-000005","","Deliver to customer"
2,"EVENT 8 END_nan","2024-05-06 18:56:24.810","","polluted Label(Activity)","EVENT 8 END"
3,"Take order","2024-05-06 18:45:00.000","Waiter-000002","","Take order"
3,"start","2024-05-06 18:45:00.000","","","start"
3,"Review order","2024-05-06 18:45:42.434","Waiter-000003","","Review order"
