,Case,Activity,Timestamp,Resource,label
52551,0,Check for completeness,2023-09-29 09:00:00.000,Clerk-000001,
52552,0,Perform checks,2023-09-29 09:08:36.418,Clerk-000003,
52553,0,Make decision,2023-09-29 09:09:43.339,Manager-000001,
52554,0,Notify accept,2023-09-29 09:16:37.243,Manager-000003,
52555,0,Deliver card,2023-09-29 09:39:19.386,Manager-000002,
35652,1,Check for completeness,2023-09-29 09:05:24.364,Clerk-000002,
35653,1,Perform checks,2023-09-29 09:10:28.617,Clerk-000004,
35654,1,Make decision,2023-09-29 09:13:51.492,Manager-000002,
35655,1,Notify accept,2023-09-29 09:35:56.908,Manager-000005,
35656,1,Deliver card,2023-09-29 09:54:59.797,Manager-000004,
8918,2,Check for completeness,2023-09-29 09:24:45.487,Clerk-000005,
8919,2,Perform checks,2023-09-29 09:25:09.241,Clerk-000006,
8920,2,Make decision,2023-09-29 09:33:00.179,Manager-000004,
8921,2,Notify accept,2023-09-29 09:37:36.568,Manager-000006,
8922,2,Deliver card,2023-09-29 09:38:25.275,Manager-000001,
52614,3,Check for completeness,2023-09-29 11:04:02.737,Clerk-000001,
52615,3,Request info,2023-09-29 11:14:01.072,Manager-000006,
52616,3,Information exchange,2023-09-29 11:22:56.200,,HOMONYMOUS(info received)
52617,3,Check for completeness,2023-09-29 11:23:06.200,Clerk-000003,
52618,3,Verification process,2023-09-29 11:26:10.630,Clerk-000002,HOMONYMOUS(Perform checks)
52619,3,Make decision,2023-09-29 11:39:44.558,Manager-000003,
52620,3,notify reject,2023-09-29 11:44:04.637,Manager-000002,
52621,3,time out,2023-09-29 11:55:24.525,,
31551,4,Check for completeness,2023-09-29 11:34:38.887,Clerk-000004,
31552,4,Information exchange,2023-09-29 11:42:14.147,Manager-000001,HOMONYMOUS(Request info)
31553,4,info received,2023-09-29 12:28:45.322,,
31554,4,Check for completeness,2023-09-29 12:28:55.322,Clerk-000001,
31555,4,Verification process,2023-09-29 12:54:48.341,Clerk-000003,HOMONYMOUS(Perform checks)
31556,4,Decision review,2023-09-29 13:08:52.312,Manager-000003,HOMONYMOUS(Make decision)
31557,4,Notify accept,2023-09-29 13:20:24.260,Manager-000002,
31558,4,Deliver card,2023-09-29 13:31:16.944,Manager-000004,
35509,5,Check for completeness,2023-09-29 11:58:51.818,Clerk-000005,
35510,5,Perform checks,2023-09-29 11:59:56.433,Clerk-000006,
35511,5,Make decision,2023-09-29 12:06:54.570,Manager-000005,
35512,5,Notify accept,2023-09-29 12:13:00.166,Manager-000004,
35513,5,Deliver card,2023-09-29 12:15:13.449,Manager-000006,
49005,6,Check for completeness,2023-09-29 13:17:49.926,Clerk-000002,
49006,6,Perform checks,2023-09-29 13:41:22.452,Clerk-000003,
49007,6,Make decision,2023-09-29 13:45:49.138,Manager-000002,
49008,6,Notify accept,2023-09-29 13:46:40.377,Manager-000004,
49009,6,Deliver card,2023-09-29 14:12:17.370,Manager-000003,
18358,7,Check for completeness,2023-09-29 13:24:12.521,Clerk-000004,
18359,7,Perform checks,2023-09-29 13:24:18.373,Clerk-000005,
18360,7,Make decision,2023-09-29 13:29:26.239,Manager-000005,
18361,7,Notify accept,2023-09-29 13:39:56.417,Manager-000006,
18362,7,Deliver card,2023-09-29 13:43:55.173,Manager-000001,
38962,8,Check for completeness,2023-09-29 13:38:17.743,Clerk-000006,
38963,8,Request info,2023-09-29 13:43:58.067,Manager-000003,
38964,8,info received,2023-09-29 13:45:28.311,,
38965,8,Check for completeness,2023-09-29 13:45:38.311,Clerk-000004,
38966,8,Perform checks,2023-09-29 13:59:58.042,Clerk-000005,
38967,8,Make decision,2023-09-29 14:00:04.900,Manager-000005,
38968,8,notify reject,2023-09-29 14:15:21.082,Manager-000002,
38969,8,review request received,2023-09-29 14:19:47.442,,
38970,8,Check for completeness,2023-09-29 14:19:57.442,Clerk-000006,
38971,8,Perform checks,2023-09-29 14:28:22.925,Clerk-000003,
38972,8,Make decision,2023-09-29 14:34:51.646,Manager-000004,
38973,8,Notify accept,2023-09-29 14:36:15.619,Manager-000005,
38974,8,Deliver card,2023-09-29 14:37:47.189,Manager-000006,
49025,9,Check for completeness,2023-09-29 13:41:21.583,Clerk-000001,
49026,9,Information exchange,2023-09-29 14:01:14.504,Manager-000006,HOMONYMOUS(Request info)
49027,9,info received,2023-09-29 14:19:00.830,,
49028,9,Check for completeness,2023-09-29 14:19:10.830,Clerk-000002,
49029,9,Request info,2023-09-29 14:27:41.671,Manager-000001,
49030,9,info received,2023-09-29 14:33:09.099,,
49031,9,Check for completeness,2023-09-29 14:33:19.099,Clerk-000004,
49032,9,Request info,2023-09-29 15:08:59.285,Manager-000003,
49033,9,info received,2023-09-29 15:23:23.408,,
49034,9,Check for completeness,2023-09-29 15:23:33.408,Clerk-000006,
49035,9,Perform checks,2023-09-29 15:33:37.833,Clerk-000003,
49036,9,Make decision,2023-09-29 15:34:38.869,Manager-000006,
49037,9,notify reject,2023-09-29 15:54:24.867,Manager-000002,
49038,9,time out,2023-09-29 16:12:43.247,,
31946,10,Check for completeness,2023-09-29 14:47:37.938,Clerk-000005,
31947,10,Request info,2023-09-29 14:48:51.317,Manager-000002,
31948,10,info received,2023-09-29 14:54:01.063,,
31949,10,Check for completeness,2023-09-29 14:54:11.063,Clerk-000001,
31950,10,Perform checks,2023-09-29 15:12:40.802,Clerk-000002,
31951,10,Make decision,2023-09-29 15:21:56.123,Manager-000001,
31952,10,Notify accept,2023-09-29 15:22:31.725,Manager-000004,
31953,10,Deliver card,2023-09-29 15:23:49.967,Manager-000005,
12736,11,Check for completeness,2023-09-29 16:06:37.359,Clerk-000005,
12737,11,Perform checks,2023-09-29 16:11:54.846,Clerk-000001,
12738,11,Decision review,2023-09-29 16:25:06.284,Manager-000001,HOMONYMOUS(Make decision)
12739,11,notify reject,2023-09-29 16:26:23.405,Manager-000003,
12740,11,time out,2023-09-29 16:29:27.938,,
2111,12,Check for completeness,2023-09-29 16:07:28.415,Clerk-000004,
2112,12,Request info,2023-09-29 16:28:15.647,Manager-000005,
2113,12,info received,2023-09-29 16:33:32.086,,
2114,12,Check for completeness,2023-09-29 16:33:42.086,Clerk-000003,
2115,12,Request info,2023-09-29 16:36:40.604,Manager-000002,
2116,12,info received,2023-09-29 16:45:28.106,,
2117,12,Check for completeness,2023-09-29 16:45:38.106,Clerk-000005,
2118,12,Perform checks,2023-09-29 17:02:39.723,Clerk-000002,
2119,12,Make decision,2023-09-29 17:13:16.697,Manager-000003,
2120,12,Notify accept,2023-09-29 17:13:45.470,Manager-000005,
2121,12,Deliver card,2023-09-29 17:46:09.886,Manager-000004,
15606,13,Check for completeness,2023-09-29 16:14:30.309,Clerk-000002,
15607,13,Perform checks,2023-09-29 16:27:34.755,Clerk-000006,
15608,13,Make decision,2023-09-29 16:28:03.056,Manager-000004,
15609,13,notify reject,2023-09-29 16:34:55.454,Manager-000006,
15610,13,review request received,2023-09-29 16:46:57.319,,
15611,13,Check for completeness,2023-09-29 16:47:07.319,Clerk-000001,
15612,13,Perform checks,2023-09-29 16:54:38.964,Clerk-000004,
15613,13,Make decision,2023-09-29 17:22:15.988,Manager-000002,
15614,13,notify reject,2023-09-29 17:51:15.597,Manager-000006,
15615,13,review request received,2023-09-29 18:02:09.808,,
15616,13,Check for completeness,2023-09-29 18:02:19.808,Clerk-000003,
15617,13,Request info,2023-09-29 18:09:51.649,Manager-000004,
15618,13,info received,2023-09-29 18:14:41.199,,
15619,13,Check for completeness,2023-09-29 18:14:51.199,Clerk-000006,
15620,13,Request info,2023-09-29 18:26:33.083,Manager-000003,
15621,13,info received,2023-09-29 18:37:59.483,,
15622,13,Check for completeness,2023-09-29 18:38:09.483,Clerk-000004,
15623,13,Verification process,2023-09-29 19:01:11.416,Clerk-000006,HOMONYMOUS(Perform checks)
15624,13,Make decision,2023-09-29 19:08:51.860,Manager-000001,
15625,13,notify reject,2023-09-29 19:22:36.736,Manager-000004,
15626,13,review request received,2023-09-29 19:35:39.940,,
15627,13,Check for completeness,2023-09-29 19:35:49.940,Clerk-000003,
15628,13,Request info,2023-09-29 19:39:16.010,Manager-000002,
15629,13,info received,2023-09-29 20:04:20.804,,
15630,13,Check for completeness,2023-09-29 20:04:30.804,Clerk-000002,
15631,13,Request info,2023-09-29 20:19:37.681,Manager-000003,
15632,13,info received,2023-09-29 20:28:28.849,,
15633,13,Check for completeness,2023-09-29 20:28:38.849,Clerk-000006,
15634,13,Perform checks,2023-09-29 20:38:40.292,Clerk-000004,
15635,13,Make decision,2023-09-29 20:43:33.832,Manager-000002,
15636,13,notify reject,2023-09-29 20:53:08.449,Manager-000005,
15637,13,review request received,2023-09-29 21:03:06.372,,
15638,13,Verification process,2023-09-29 21:03:16.372,Clerk-000006,HOMONYMOUS(Check for completeness)
15639,13,Perform checks,2023-09-29 21:20:39.128,Clerk-000003,
15640,13,Make decision,2023-09-29 21:22:46.639,Manager-000003,
15641,13,notify reject,2023-09-29 21:23:32.611,Manager-000004,
15642,13,time out,2023-09-29 21:33:15.823,,
39123,14,Check for completeness,2023-09-29 16:51:09.691,Clerk-000002,
39124,14,Perform checks,2023-09-29 16:54:07.012,Clerk-000006,
39125,14,Make decision,2023-09-29 17:08:43.888,Manager-000001,
39126,14,notify reject,2023-09-29 17:40:01.342,Manager-000003,
39127,14,time out,2023-09-29 18:03:59.442,,
45312,15,Check for completeness,2023-09-29 16:58:01.944,Clerk-000003,
45313,15,Perform checks,2023-09-29 17:14:52.875,Clerk-000001,
45314,15,Make decision,2023-09-29 17:22:07.416,Manager-000004,
45315,15,notify reject,2023-09-29 17:32:32.195,Manager-000006,
45316,15,time out,2023-09-29 17:39:23.547,,
