original,error,type,count
prepare drinks,Prepare DrinkS,UpLow,57
prepare drinks,prephare drinks,Insert,57
Review drinks,Revtiew drinks,Insert,55
Review drinks,Reivew drinks,Interchange,51
prepare drinks,"prepare drin,s",Proximity,51
Bring drinks,Bring drInKs,UpLow,50
Review drinks,Review drikns,Interchange,50
Review drinks,Review drinms,Proximity,48
prepare drinks,prepar drinks,Skip,47
Bring drinks,Bring drigks,Proximity,47
prepare drinks,prepre drinks,Skip,46
Bring drinks,Bring driniks,Insert,46
prepare drinks,preparedrinks,Skip,46
prepare drinks,preapre drinks,Interchange,45
Bring drinks,Bring Zdrinks,Insert,45
prepare drinks,preprae drinks,Interchange,45
Bring drinks,Bring drinms,Proximity,45
prepare drinks,PrePare dRinks,UpLow,45
Bring drinks,Bring drinGks,Insert,45
prepare drinks,prepare drinFks,Insert,45
Review drinks,QReview drinks,Insert,45
prepare drinks,prepareQ drinks,Insert,44
prepare drinks,Dprepare drinks,Insert,44
Review drinks,Reviee drinks,Proximity,44
Bring drinks,Bring DRInks,UpLow,43
Bring drinks,Bring drinKs,UpLow,43
prepare drinks,prepare rinks,Skip,43
prepare drinks,perpare drinks,Interchange,43
Review drinks,Review drinos,Proximity,43
Bring drinks,Brin gdrinks,Interchange,42
Bring drinks,BrIng drinKs,UpLow,42
Review drinks,Rveiew drinks,Interchange,42
Review drinks,REviEw drinks,UpLow,41
Signal food complete,Signal food cmoplete,Interchange,41
Bring drinks,Brig drinks,Skip,41
Bring drinks,rBing drinks,Interchange,41
Review drinks,Rweview drinks,Insert,40
Review drinks,ReVIew drinkS,UpLow,40
Bring drinks,Birng drinks,Interchange,40
prepare drinks,prepare drInkS,UpLow,40
Bring drinks,Bring drink,Skip,40
prepare drinks,prepare drinkS,UpLow,40
Bring drinks,ring drinks,Skip,40
prepare drinks,prepare wrinks,Proximity,40
Bring drinks,Brigg drinks,Proximity,40
Bring drinks,Bring dfinks,Proximity,40
Take order,tAke orDer,UpLow,40
Review drinks,Review frinks,Proximity,40
prepare drinks,prepare dRinKS,UpLow,40
Review drinks,Rview drinks,Skip,39
Bring drinks,Bringdrinks,Skip,39
Review order,Review odrer,Interchange,39
Deliver to customer,Deliver to cutsomer,Interchange,39
Bring drinks,BrinG drinks,UpLow,39
Review drinks,Revew drinks,Skip,39
Review drinks,Reviewdrinks,Skip,39
Bring food,Bring foOd,UpLow,39
Review drinks,RevieW dRinkS,UpLow,39
Review drinks,FReview drinks,Insert,39
prepare drinks,rpepare drinks,Interchange,39
Bring drinks,Bring rinks,Skip,38
Bring drinks,Brineg drinks,Insert,38
prepare drinks,prpare drinks,Skip,38
prepare drinks,prspare drinks,Proximity,37
Review drinks,Review drInkS,UpLow,37
Deliver to customer,Deliver to custmer,Skip,37
Take order,Tkae order,Interchange,37
Bring drinks,Bringd rinks,Interchange,37
Review drinks,Review drnks,Skip,36
Review drinks,Review drins,Skip,36
Review drinks,Review DrInks,UpLow,36
Review drinks,Review drjnks,Proximity,35
Bring food,Bring ood,Skip,35
Review order,RevIew Order,UpLow,35
Bring drinks,Bring durinks,Insert,35
Take order,Take norder,Insert,35
Bring food,BriMng food,Insert,35
prepare drinks,prepare drunks,Proximity,34
Take order,Takeo rder,Interchange,34
Signal food complete,Signal food compelte,Interchange,34
Review order,Reviw order,Skip,34
Take order,Take ordfr,Proximity,33
Bring food,BrinGg food,Insert,33
Prepare main course,Prepare maih course,Proximity,33
Review order,ReZview order,Insert,33
prepare drinks,preparSe drinks,Insert,33
Deliver to customer,Deliverto customer,Skip,33
Review order,Review oder,Skip,33
Deliver to customer,Deliver to cystomer,Proximity,32
Prepare main course,Prepare main cOUrse,UpLow,32
Deliver to customer,Deliver to cusotmer,Interchange,32
Signal food complete,Signalfood complete,Skip,32
prepare drinks,prepsre drinks,Proximity,32
Review order,Rfview order,Proximity,32
prepare drinks,prepare rdinks,Interchange,32
Bring drinks,Bring drikns,Interchange,32
Signal food complete,Signal food complyete,Insert,32
Take order,Tae order,Skip,31
Signal food complete,SignAl food cOmplete,UpLow,31
Bring food,Bring fopd,Proximity,31
Signal food complete,Signal food cLomplete,Insert,31
Deliver to customer,DeLiver to CUsTomeR,UpLow,31
Review order,Review ordre,Interchange,31
Bring drinks,Brijg drinks,Proximity,31
Take order,Tak eorder,Interchange,31
Signal food complete,Signal food comPplete,Insert,31
Bring food,Bring fod,Skip,31
Deliver to customer,Deliver to cutomer,Skip,31
Review drinks,Reviewd rinks,Interchange,31
Review order,ReView order,UpLow,31
Take order,Take orde,Skip,31
Signal food complete,Singal food complete,Interchange,31
Deliver to customer,Delinver to customer,Insert,31
Bring food,Brig food,Skip,30
Review order,Review rder,Skip,30
Review order,RevIew order,UpLow,30
Deliver to customer,Deliver to custoner,Proximity,30
Deliver to customer,Delibver to customer,Insert,30
Review drinks,Revhiew drinks,Insert,30
Take order,Takeorder,Skip,30
Deliver to customer,Deliver to customuer,Insert,30
Bring food,Bringf ood,Interchange,30
Review order,eRview order,Interchange,30
Signal food complete,Skgnal food complete,Proximity,29
Bring food,Brign food,Interchange,29
Deliver to customer,Deliver to cusomer,Skip,29
Take order,Take ORdEr,UpLow,29
Signal food complete,Signl food complete,Skip,29
Signal food complete,Signql food complete,Proximity,29
Bring food,Bring foo,Skip,29
Review order,Reciew order,Proximity,29
Prepare main course,Prepare mxin course,Proximity,29
Deliver to customer,Delvier to customer,Interchange,29
Review drinks,Review drinsk,Interchange,29
Take order,Take Torder,Insert,28
Bring food,Bring foood,Insert,28
Bring food,Bring fpod,Proximity,28
Deliver to customer,Delive to customer,Skip,28
Bring food,Bting food,Proximity,28
Prepare main course,Preparem ain course,Interchange,28
Signal food complete,Signal FoOd ComPlete,UpLow,28
Signal food complete,Sigjal food complete,Proximity,28
Prepare main course,Prepaer main course,Interchange,28
Bring food,Brin food,Skip,28
Take order,Take otder,Proximity,28
Take order,Take ordsr,Proximity,28
Prepare main course,PrePare maiN coUrSe,UpLow,28
Take order,Takbe order,Insert,28
Signal food complete,Signal food cotmplete,Insert,28
