,Case,Activity,Timestamp,Resource,label
55155,0,Take order,2024-05-06 18:00:00.000,Waiter-000001,
55156,0,Review order,2024-05-06 18:00:26.397,Waiter-000002,
55157,0,Prepare main course,2024-05-06 18:01:29.727,Cook-000001,
55158,0,prepare drinks,2024-05-06 18:01:32.727,Barman-000001,
55159,0,Signal food complete,2024-05-06 18:08:55.574,Cook-000002,
55160,0,Bring drinks,2024-05-06 18:10:35.746,Barman-000002,
55161,0,Review drinks,2024-05-06 18:13:26.601,Waiter-000003,
55162,0,Bring food,2024-05-06 18:17:06.274,Cook helper-000001,
55163,0,Deliver to customer,2024-05-06 18:28:15.901,Waiter-000001,
37681,1,Take order,2024-05-06 18:15:00.000,Waiter-000004,
37682,1,Review order,2024-05-06 18:21:16.885,Waiter-000005,
37683,1,Prepare main course,2024-05-06 18:21:21.290,Cook-000003,
37684,1,prepare drinks,2024-05-06 18:21:24.290,Barman-000003,
37685,1,Signal food complete,2024-05-06 18:28:22.423,Cook-000001,
37686,1,Bring food,2024-05-06 18:32:39.040,Cook helper-000002,
37687,1,Bring drinks,2024-05-06 18:37:42.138,Barman-000001,
37688,1,Review drinks,2024-05-06 18:38:19.504,Waiter-000004,
37689,1,Deliver to customer,2024-05-06 18:41:38.777,Waiter-000001,
9333,2,Take order,2024-05-06 18:30:00.000,Waiter-000002,
9334,2,Review order,2024-05-06 18:31:43.657,Waiter-000003,
9336,2,Prepare starter,2024-05-06 18:32:39.248,Cook helper-000003,
9335,2,Prepare main course,2024-05-06 18:32:41.248,Cook-000002,
9337,2,prepare drinks,2024-05-06 18:32:44.248,Barman-000001,
9338,2,Bring drinks,2024-05-06 18:33:35.761,Barman-000002,
9339,2,Review drinks,2024-05-06 18:41:33.110,Waiter-000005,
9340,2,Signal food complete,2024-05-06 18:42:38.623,Cook-000003,
9341,2,Bring food,2024-05-06 18:52:02.985,Cook helper-000001,
9342,2,Deliver to customer,2024-05-06 18:52:55.482,Waiter-000005,
55203,3,Take order,2024-05-06 18:45:00.000,Waiter-000002,
55204,3,Order processing,2024-05-06 18:45:42.434,Waiter-000003,HOMONYMOUS(Review order)
55205,3,Prepare main course,2024-05-06 18:46:03.187,Cook-000001,
55206,3,prepare drinks,2024-05-06 18:46:06.187,Barman-000003,
55207,3,Bring drinks,2024-05-06 18:46:25.135,Barman-000001,
55208,3,Review drinks,2024-05-06 18:49:49.033,Waiter-000004,
55209,3,prepare drinks,2024-05-06 18:53:18.575,Barman-000002,
55210,3,Drink handling,2024-05-06 19:02:51.779,Barman-000001,HOMONYMOUS(Bring drinks)
55211,3,Review drinks,2024-05-06 19:05:53.390,Waiter-000001,
55212,3,Signal food complete,2024-05-06 19:38:29.090,Cook-000001,
55213,3,Bring food,2024-05-06 19:56:37.626,Cook helper-000001,
55214,3,Deliver to customer,2024-05-06 19:59:50.671,Waiter-000004,
33132,4,Order processing,2024-05-06 19:00:00.000,Waiter-000002,HOMONYMOUS(Take order)
33133,4,Review order,2024-05-06 19:01:14.635,Waiter-000003,
33134,4,Prepare starter,2024-05-06 19:01:40.513,Cook helper-000003,
