Case,Activity,Timestamp,Resource,label
0,Check for completeness,2023-09-29 09:00:00.000,Clerk-000001,
0,New online application received,2023-09-29 09:00:00.000,,
0,Perform checks,2023-09-29 09:08:36.418,Clerk-000003,
0,Make decision,2023-09-29 09:09:43.339,Manager-000001,
0,Notify accept,2023-09-29 09:16:37.243,Manager-000003,
0,Deliver card,2023-09-29 09:39:19.386,Manager-000002,
0,EVENT 13 END,2023-09-29 09:49:41.170,,
1,Check for completeness,2023-09-29 09:05:24.364,Clerk-000002,
1,New online application received,2023-09-29 09:05:24.364,,
1,Perform checks,2023-09-29 09:10:28.617,Clerk-000004,
1,Make decision,2023-09-29 09:13:51.492,Manager-000002,
1,Notify accept,2023-09-29 09:35:56.908,Manager-000005,
1,Deliver card,2023-09-29 09:54:59.797,Manager-000004,
1,EVENT 13 END,2023-09-29 10:09:32.104,,
10,Check for completeness,2023-09-29 14:47:37.938,Clerk-000005,
10,New online application received,2023-09-29 14:47:37.938,,
10,Request info,2023-09-29 14:48:51.317,Manager-000002,
10,info received,2023-09-29 14:54:01.063,,
10,Check for completeness,2023-09-29 14:54:11.063,Clerk-000001,
10,Perform checks_88YAjxg_20230929151240802000,2023-09-29 15:12:40.802,Clerk-000002,polluted Label(Activity:'Perform checks')
10,Make decision_02VFyjo_20230929152156123000,2023-09-29 15:21:56.123,Manager-000001,polluted Label(Activity:'Make decision')
10,Notify accept,2023-09-29 15:22:31.725,Manager-000004,
10,Deliver card,2023-09-29 15:23:49.967,Manager-000005,
10,EVENT 13 END,2023-09-29 15:36:59.534,,
100,Check for completeness,2023-10-04 19:55:31.018,Clerk-000004,
100,New online application received,2023-10-04 19:55:31.018,,
100,Perform checks_99pcvuv_20231004200210418000,2023-10-04 20:02:10.418,Clerk-000001,polluted Label(Activity:'Perform checks')
100,Make decision_21nRmOw_20231004200414751000,2023-10-04 20:04:14.751,Manager-000006,polluted Label(Activity:'Make decision')
100,notify reject,2023-10-04 20:14:48.955,Manager-000002,
100,time out,2023-10-04 20:15:17.086,,
100,EVENT 13 END,2023-10-04 20:15:27.086,,
1000,Check for completeness,2023-11-28 05:39:07.464,Clerk-000001,
1000,New online application received,2023-11-28 05:39:07.464,,
1000,Perform checks_31gIFKy_20231128054704358000,2023-11-28 05:47:04.358,Clerk-000003,polluted Label(Activity:'Perform checks')
1000,Make decision_83pxgOR_20231128055101707000,2023-11-28 05:51:01.707,Manager-000004,polluted Label(Activity:'Make decision')
1000,notify reject,2023-11-28 05:56:17.716,Manager-000005,
1000,time out,2023-11-28 06:15:25.097,,
1000,EVENT 13 END,2023-11-28 06:15:35.097,,
1001,Check for completeness,2023-11-28 06:38:50.352,Clerk-000002,
1001,New online application received,2023-11-28 06:38:50.352,,
1001,Request info,2023-11-28 06:48:24.388,Manager-000006,
1001,info received,2023-11-28 06:59:47.977,,
1001,Check for completeness,2023-11-28 06:59:57.977,Clerk-000006,
1001,Perform checks,2023-11-28 07:13:01.594,Clerk-000001,
1001,Make decision,2023-11-28 07:13:48.752,Manager-000003,
1001,Notify accept,2023-11-28 07:15:59.462,Manager-000004,
1001,Deliver card,2023-11-28 07:20:22.872,Manager-000005,
1001,EVENT 13 END,2023-11-28 07:21:40.951,,
1002,Check for completeness,2023-11-28 06:40:47.148,Clerk-000004,
