Case,Activity,Timestamp,Resource,label
0,Take order,2024-05-06 18:00:00.000,Waiter-000001,
0,start,2024-05-06 18:00:00.000,,
0,Review order,2024-05-06 18:00:26.397,Waiter-000002,
0,Prepare main course,2024-05-06 18:01:27.727,Cook-000001,
0,prepare drinks,2024-05-06 18:01:27.727,Barman-000001,
0,Signal food complete,2024-05-06 18:08:55.574,Cook-000002,
0,Bring drinks,2024-05-06 18:10:35.746,Barman-000002,form-based events(2024-05-06 18:10:35.746)
0,Review drinks,2024-05-06 18:10:35.746,Waiter-000003,form-based events(2024-05-06 18:13:26.601)
0,Bring food,2024-05-06 18:17:06.274,Cook helper-000001,
0,Deliver to customer,2024-05-06 18:28:15.901,Waiter-000001,
0,EVENT 8 END,2024-05-06 18:28:36.374,,
1,Take order,2024-05-06 18:15:00.000,Waiter-000004,
1,start,2024-05-06 18:15:00.000,,
1,Review order,2024-05-06 18:21:16.885,Waiter-000005,
1,Prepare main course,2024-05-06 18:21:19.290,Cook-000003,
1,prepare drinks,2024-05-06 18:21:19.290,Barman-000003,
1,Signal food complete,2024-05-06 18:28:22.423,Cook-000001,
1,Bring food,2024-05-06 18:32:39.040,Cook helper-000002,
1,Bring drinks,2024-05-06 18:37:42.138,Barman-000001,
1,Review drinks,2024-05-06 18:38:19.504,Waiter-000004,
1,Deliver to customer,2024-05-06 18:41:38.777,Waiter-000001,
1,EVENT 8 END,2024-05-06 18:48:07.685,,
10,Take order,2024-05-06 20:30:00.000,Waiter-000004,
10,start,2024-05-06 20:30:00.000,,
10,Review order,2024-05-06 20:31:21.530,Waiter-000005,
10,prepare drinks,2024-05-06 20:32:09.910,Barman-000002,
10,Bring drinks,2024-05-06 20:33:38.935,Barman-000001,
10,Review drinks,2024-05-06 20:38:13.994,Waiter-000003,
10,prepare drinks,2024-05-06 20:40:22.120,Barman-000003,
10,Bring drinks,2024-05-06 20:53:19.368,Barman-000001,
10,Prepare main course,2024-05-06 20:54:46.925,Cook-000002,
10,Review drinks,2024-05-06 21:02:35.065,Waiter-000004,
10,Signal food complete,2024-05-06 21:04:57.209,Cook-000003,
10,Bring food,2024-05-06 21:08:26.519,Cook helper-000001,
10,Deliver to customer,2024-05-06 21:15:44.921,Waiter-000002,
10,EVENT 8 END,2024-05-06 21:17:36.624,,
100,Take order,2024-05-09 19:00:00.000,Waiter-000001,
100,start,2024-05-09 19:00:00.000,,
100,Review order,2024-05-09 19:00:52.494,Waiter-000002,
100,prepare drinks,2024-05-09 19:01:11.398,Barman-000001,
100,Bring drinks,2024-05-09 19:15:27.885,Barman-000002,
100,Review drinks,2024-05-09 19:16:23.796,Waiter-000002,
100,Prepare main course,2024-05-09 19:24:56.507,Cook-000003,
100,Signal food complete,2024-05-09 19:40:32.263,Cook-000002,
100,Bring food,2024-05-09 19:58:40.881,Cook helper-000003,
100,Deliver to customer,2024-05-09 20:04:32.605,Waiter-000002,
100,EVENT 8 END,2024-05-09 20:05:03.168,,
1000,Take order,2024-06-18 20:00:00.000,Waiter-000001,
1000,start,2024-06-18 20:00:00.000,,
1000,Review order,2024-06-18 20:00:04.480,Waiter-000002,
1000,Prepare starter,2024-06-18 20:00:37.339,Cook helper-000003,
1000,prepare drinks,2024-06-18 20:00:37.339,Barman-000001,
1000,Bring drinks,2024-06-18 20:05:52.072,Barman-000003,form-based events(2024-06-18 20:05:52.072)
1000,Review drinks,2024-06-18 20:05:52.072,Waiter-000005,form-based events(2024-06-18 20:11:27.549)
1000,Prepare main course,2024-06-20 00:03:34.625,Cook-000002,
1000,Signal food complete,2024-06-22 00:32:53.095,Cook-000002,
1000,Bring food,2024-06-22 01:29:39.856,Cook helper-000003,
1000,Deliver to customer,2024-06-22 01:31:29.942,Waiter-000001,
1000,EVENT 8 END,2024-06-22 01:31:30.569,,
1001,Take order,2024-06-18 20:15:00.000,Waiter-000003,
1001,start,2024-06-18 20:15:00.000,,
1001,Review order,2024-06-18 20:19:31.867,Waiter-000002,
1001,Prepare starter,2024-06-18 20:20:02.209,Cook helper-000003,
1001,prepare drinks,2024-06-18 20:20:02.209,Barman-000002,
1001,Bring drinks,2024-06-18 20:42:03.000,Barman-000001,
1001,Review drinks,2024-06-18 20:46:43.263,Waiter-000005,
1001,prepare drinks,2024-06-18 20:47:45.351,Barman-000002,
1001,Bring drinks,2024-06-18 20:54:40.362,Barman-000001,
1001,Review drinks,2024-06-18 21:01:56.813,Waiter-000001,
1001,prepare drinks,2024-06-18 21:03:21.024,Barman-000003,
1001,Bring drinks,2024-06-18 21:09:48.861,Barman-000002,
1001,Review drinks,2024-06-18 21:19:12.606,Waiter-000005,
